GEMINI 3 PRO PREVIEW BACKTEST REPORT
Generated: 2025-12-19T22:21:57.666Z
Model: gemini-3-pro-preview
Total Matches: 21
Failed Predictions: 0
1X2 Accuracy: 13/21 (61.9%)
BTTS Accuracy: 10/21 (47.6%)
Over 2.5 Accuracy: 13/21 (61.9%)
Processing Time: 4.3 minutes


#,Date,League,Home Team,Away Team,Score,Result,Home Odds,Draw Odds,Away Odds,BTTS Yes Odds,BTTS No Odds,O2.5 Odds,U2.5 Odds,Pred 1X2,Home %,Draw %,Away %,1X2 Correct,Pred BTTS,Actual BTTS,BTTS Correct,O2.5 %,Actual O2.5,O2.5 Correct,Confidence,AI Analysis
11,2025-12-14,"La Liga","Celta Vigo","Athletic Club",2-0,1,2.78,3.15,2.62,1.90,1.85,2.25,1.62,2,37.9,23.9,38.3,NO,No,No,YES,54,No,NO,Low,"As we approach the clash between Celta Vigo and Athletic Club at the Estadio Abanca Balaídos; several key factors influence the prediction landscape for this La Liga encounter. Both teams find themsel"
12,2025-12-14,"Bundesliga","SC Freiburg","Borussia Dortmund",1-1,X,3.40,3.30,2.15,1.77,2.00,2.00,1.80,2,32.5,23.6,44,NO,Yes,Yes,YES,66,No,NO,Low,"In the upcoming Bundesliga clash between SC Freiburg and Borussia Dortmund at the Europa-Park Stadion; several key factors could influence the match outcome. Borussia Dortmund currently sits in a stro"
13,2025-12-14,"Premier League","Crystal Palace","Manchester City",0-3,2,4.20,3.80,1.79,1.62,2.20,1.67,2.15,2,29.4,24.6,46.1,YES,Yes,No,NO,57,Yes,YES,Medium,"As Crystal Palace prepares to host Manchester City at Selhurst Park; several key factors are shaping the prediction for this matchup. Crystal Palace currently sits in a commendable 5th place in the Pr"
14,2025-12-14,"Serie A","Udinese","Napoli",1-0,1,4.45,3.20,1.91,2.05,1.73,2.35,1.57,2,28.8,25.7,45.5,NO,No,No,YES,57,No,NO,Low,"In the upcoming Serie A clash between Udinese and Napoli; several key factors will influence the match's dynamics and potential outcome. Napoli currently sits comfortably in third place; showcasing th"
15,2025-12-14,"Ligue 1","Lyon","Le Havre",1-0,1,1.66,3.85,5.00,1.85,1.85,1.93,1.85,1,50.1,23.5,26.4,YES,No,No,YES,57,No,NO,Low,"In the upcoming Ligue 1 clash between Lyon and Le Havre at Parc Olympique Lyonnais; several key factors play a significant role in shaping the predictions for this match. Lyon currently holds a solid "
16,2025-12-14,"Premier League","Nottingham Forest","Tottenham",3-0,1,2.52,3.25,2.80,1.73,2.05,1.95,1.83,1,38.7,24.9,36.4,YES,No,No,YES,55.6,Yes,YES,Medium,"As Nottingham Forest prepares to host Tottenham at the City Ground; several key factors will play a significant role in influencing the match's outcome. Recent form shows a clear distinction between t"
17,2025-12-14,"Premier League","Sunderland","Newcastle",1-0,1,3.50,3.35,2.10,1.73,2.05,1.90,1.85,1,38.5,24.4,37.1,YES,No,No,YES,54,No,NO,Medium,"As Sunderland prepares to face Newcastle at the Stadium of Light; various key factors will influence the outcome of this much-anticipated Premier League clash. Sunderland enters the match sitting comf"
18,2025-12-14,"Serie A","Fiorentina","Verona",1-2,2,1.97,3.15,4.30,2.00,1.75,2.30,1.60,1,44.8,24.8,30.4,NO,No,Yes,NO,54,Yes,YES,Low,"As Fiorentina prepares to host Verona at Stadio Artemio Franchi; the matchup represents a critical clash between two teams battling to escape the relegation zone in Serie A. Key factors influencing th"
19,2025-12-14,"Premier League","West Ham","Aston Villa",2-3,2,3.35,3.40,2.14,1.65,2.15,1.83,1.95,2,30.3,25.3,44.4,YES,Yes,Yes,YES,57,Yes,YES,Medium,"As West Ham prepares to host Aston Villa at the London Stadium; several key factors are influencing the predictions for this Premier League clash. Firstly; the disparity in league standings is signifi"
20,2025-12-14,"La Liga","Sevilla","Oviedo",4-0,1,2.02,3.20,3.95,1.95,1.80,2.25,1.62,1,47.4,24.1,28.4,YES,No,No,YES,69,Yes,YES,Low,"As Sevilla prepares to host Oviedo at the Estadio Ramón Sánchez Pizjuán; several key factors are shaping the expectations for this La Liga encounter. First and foremost; the disparity in the league st"
21,2025-12-14,"Serie A","AC Milan","Sassuolo",2-2,X,1.46,4.20,7.10,2.00,1.75,1.85,1.91,1,50.5,24,25.5,NO,No,Yes,NO,63,Yes,YES,Low,"As AC Milan prepares to face Sassuolo at the iconic Stadio Giuseppe Meazza; several key factors are influencing the predictions for this encounter. AC Milan; currently positioned second in Serie A; wi"
